                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.23104,                0.46192,                0.88586,                0.98446,                0.97875,                0.99041,                0.99002,                0.14254,                0.16864,                 0.7446,             0.00047367,             0.00047367,             0.00047367
                     37,                0.23077,                 0.4547,                0.88537,                0.98049,                0.98403,                0.99068,                0.98859,                0.14435,                0.18812,                0.73106,              0.0004666,              0.0004666,              0.0004666
                     38,                0.22485,                0.44011,                0.88565,                0.97277,                0.98129,                0.99292,                0.99113,                 0.1436,                0.17649,                0.73393,             0.00045953,             0.00045953,             0.00045953
                     39,                0.22603,                0.43139,                0.88512,                0.98873,                0.97823,                0.99217,                0.98965,                0.12427,                0.15869,                0.71039,             0.00045246,             0.00045246,             0.00045246
                     40,                0.21906,                 0.4219,                0.88411,                0.98473,                0.98651,                0.99341,                0.99203,                0.12118,                 0.1543,                0.70971,             0.00044539,             0.00044539,             0.00044539
                     41,                0.21423,                0.41244,                0.87654,                 0.9851,                0.96137,                 0.9925,                0.98869,                0.13067,                0.17633,                0.71405,             0.00043832,             0.00043832,             0.00043832
                     42,                0.21737,                0.40119,                  0.885,                0.98492,                 0.9828,                0.99087,                 0.9905,                0.12024,                0.15013,                0.71026,             0.00043126,             0.00043126,             0.00043126
                     43,                0.21673,                0.39225,                0.87992,                0.98969,                0.96702,                0.99145,                0.99123,                0.13077,                0.15838,                0.73142,             0.00042419,             0.00042419,             0.00042419
                     44,                0.21006,                0.39262,                0.87685,                0.98635,                0.97448,                0.98916,                0.98537,                0.12952,                0.15634,                0.71559,             0.00041712,             0.00041712,             0.00041712
                     45,                0.21346,                0.39605,                0.87951,                0.97972,                0.99286,                0.99371,                 0.9912,                  0.126,                0.14834,                0.71013,             0.00041005,             0.00041005,             0.00041005
                     46,                0.21595,                0.39094,                0.87779,                0.98404,                0.99186,                0.99354,                 0.9916,                0.12306,                0.14061,                0.71347,             0.00040298,             0.00040298,             0.00040298
                     47,                0.21941,                0.38296,                0.88076,                0.97863,                0.98969,                0.99071,                0.98674,                0.12899,                  0.155,                0.71521,             0.00039591,             0.00039591,             0.00039591
                     48,                0.21296,                0.38659,                0.88103,                0.98491,                0.99243,                0.99365,                0.99023,                0.12276,                0.14772,                0.71483,             0.00038884,             0.00038884,             0.00038884
                     49,                0.20724,                0.37622,                0.87895,                0.97983,                0.97555,                0.99262,                0.98944,                0.12781,                0.16803,                0.71581,             0.00038178,             0.00038178,             0.00038178
                     50,                0.20854,                0.37494,                0.87421,                0.98063,                0.98847,                0.99277,                0.99136,                0.11943,                0.14105,                0.70992,             0.00037471,             0.00037471,             0.00037471
                     51,                0.20763,                0.37016,                0.87576,                0.97891,                0.99125,                0.99438,                0.99176,                 0.1178,                0.14476,                0.70591,             0.00036764,             0.00036764,             0.00036764
                     52,                 0.2033,                0.35346,                0.87865,                0.98989,                0.98356,                0.99265,                0.98981,                0.10832,                0.13819,                0.70129,             0.00036057,             0.00036057,             0.00036057
                     53,                 0.2052,                0.36332,                0.87752,                0.98608,                0.98786,                0.99208,                0.98909,                0.12486,                0.15596,                0.71013,              0.0003535,              0.0003535,              0.0003535
                     54,                0.20075,                 0.3479,                0.87586,                0.98134,                0.98793,                0.99311,                 0.9916,                0.11223,                0.14281,                0.70943,             0.00034643,             0.00034643,             0.00034643
                     55,                0.20415,                0.35208,                0.87607,                0.98034,                0.97458,                 0.9908,                0.98839,                0.11846,                0.14691,                0.71486,             0.00033936,             0.00033936,             0.00033936
                     56,                0.19764,                0.33955,                0.87432,                0.98594,                0.97488,                0.99318,                0.99154,                0.11149,                0.13592,                0.70728,              0.0003323,              0.0003323,              0.0003323
                     57,                0.19649,                0.33372,                0.87334,                0.98373,                0.98996,                0.99407,                0.99251,                0.12149,                0.12881,                0.72105,             0.00032523,             0.00032523,             0.00032523
                     58,                 0.2019,                0.32229,                0.87577,                 0.9853,                0.98208,                0.99197,                0.99013,                 0.1126,                 0.1507,                0.70807,             0.00031816,             0.00031816,             0.00031816
                     59,                0.19584,                0.32947,                 0.8747,                0.98455,                0.97721,                0.99246,                0.99045,                0.11742,                0.14551,                0.71584,             0.00031109,             0.00031109,             0.00031109
                     60,                0.19956,                0.33345,                0.87125,                0.99481,                0.98112,                0.99322,                0.99169,                0.09944,                 0.1184,                0.69352,             0.00030402,             0.00030402,             0.00030402
                     61,                0.19698,                0.32068,                0.87273,                0.98348,                0.98541,                0.99306,                0.99015,                0.10955,                0.13288,                 0.7073,             0.00029695,             0.00029695,             0.00029695
                     62,                0.19385,                0.32425,                0.87023,                 0.9779,                0.99074,                0.99429,                0.99339,                0.10632,                0.12399,                0.70219,             0.00028988,             0.00028988,             0.00028988
                     63,                0.19552,                0.30527,                0.87348,                0.99161,                0.99216,                 0.9947,                0.99362,                0.10779,                0.11928,                 0.7035,             0.00028282,             0.00028282,             0.00028282
                     64,                0.19496,                0.32305,                0.87342,                0.98498,                0.98881,                0.99274,                0.99071,                0.10215,                0.12473,                0.70146,             0.00027575,             0.00027575,             0.00027575
                     65,                0.19866,                0.31804,                0.87903,                0.98648,                0.98311,                0.99336,                0.99186,                0.10064,                0.12768,                0.69896,             0.00026868,             0.00026868,             0.00026868
                     66,                0.18973,                 0.2938,                0.87357,                0.99317,                0.98958,                0.99447,                0.99267,                0.10244,                0.11436,                0.70495,             0.00026161,             0.00026161,             0.00026161
                     67,                0.19391,                0.31188,                0.87368,                0.98482,                0.97291,                0.99367,                0.99203,                0.10853,                0.13564,                0.70707,             0.00025454,             0.00025454,             0.00025454
                     68,                0.18783,                 0.3011,                0.86906,                 0.9948,                0.97641,                  0.994,                0.99191,                 0.1097,                0.11839,                0.70941,             0.00024747,             0.00024747,             0.00024747
                     69,                 0.1909,                0.30241,                0.87288,                0.99427,                0.97571,                0.99385,                0.99203,                 0.1061,                0.12971,                0.70022,              0.0002404,              0.0002404,              0.0002404
                     70,                 0.1903,                 0.3114,                0.87537,                0.98301,                0.98276,                0.99396,                0.99247,                0.10446,                0.12676,                0.70402,             0.00023334,             0.00023334,             0.00023334
                     71,                0.19511,                0.29938,                 0.8757,                 0.9851,                0.98338,                0.99377,                 0.9917,                0.10056,                0.12659,                0.69563,             0.00022627,             0.00022627,             0.00022627
                     72,                0.18748,                0.29052,                0.86918,                0.99112,                0.98353,                0.99445,                0.99303,                0.10238,                0.11674,                0.69999,              0.0002192,              0.0002192,              0.0002192
                     73,                0.18492,                 0.2842,                0.87067,                0.99261,                  0.982,                 0.9947,                0.99299,                0.10127,                0.12067,                0.69733,             0.00021213,             0.00021213,             0.00021213
                     74,                0.18433,                0.27834,                  0.873,                0.98302,                0.99378,                0.99381,                0.99203,                0.09618,                0.11159,                0.69879,             0.00020506,             0.00020506,             0.00020506
                     75,                 0.1843,                0.27418,                0.86633,                0.98043,                0.99202,                0.99383,                0.99194,                0.09955,                0.11386,                 0.6996,             0.00019799,             0.00019799,             0.00019799
                     76,                0.18452,                0.27379,                0.86922,                0.97207,                0.99487,                0.99283,                0.99109,                0.09641,                0.12155,                0.69876,             0.00019092,             0.00019092,             0.00019092
                     77,                0.17674,                0.27151,                0.86453,                0.97326,                 0.9922,                 0.9935,                0.99176,                0.09456,                0.11102,                0.70075,             0.00018385,             0.00018385,             0.00018385
                     78,                 0.1793,                0.25898,                0.86727,                0.96402,                0.98657,                0.99291,                0.99099,                0.09746,                0.12929,                0.70091,             0.00017679,             0.00017679,             0.00017679
                     79,                0.17832,                0.26104,                0.87219,                0.97978,                0.98945,                0.99404,                0.99222,                 0.0939,                0.11724,                0.69841,             0.00016972,             0.00016972,             0.00016972
                     80,                0.17639,                0.25926,                0.87032,                0.98164,                0.99346,                0.99441,                0.99263,                0.08743,                0.10575,                0.69435,             0.00016265,             0.00016265,             0.00016265
                     81,                0.17217,                  0.256,                0.87072,                0.97924,                0.99044,                0.99441,                 0.9927,                0.09443,                0.10601,                0.69986,             0.00015558,             0.00015558,             0.00015558
